product_name,price,rating,sell,location,shop_name,kategori
"Acer Spin 3 Active SP313-51N i5-1135G7 8GB 512GB Iris Xe 13.3""FHD W10",Rp9.789.000,4.9,100+ terjual,Jakarta Pusat,Collins Official,laptop
Laptop lenovo 11e yoga Touchscreen ,Rp1.350.000,5.0,70+ terjual,Jakarta Pusat,Wilaza Tech,laptop
"Laptop HP 15-DB0005AU Amd E2-9000e - 4GB 500GB - WIN10 - 15,6 INCH",Rp2.420.000,5.0,6 terjual,Jakarta Barat,GEMINI-ELEKTRONIK,laptop
Lenovo Thinkpad X1 Carbon intel core i7-8550U ram 16 gb Nvme 256 gb,Rp6.490.000,5.0,6 terjual,Kab. Badung,BossTecShop,laptop
"Laptop HP 14s-dq2614tu Intel Core i3-1115G4 | 4GB 512GB SSD | 14"" FHD - RAM 4GB",Rp5.150.000,5.0,6 terjual,Jakarta Barat,GEMINI-ELEKTRONIK,laptop
"Laptop Lenovo T400 Core 2duo - RAM 4GB - HDD 250GB - BERGARANSI - 4 gb, HDD 320GB",Rp1.549.000,4.6,250+ terjual,Bekasi,Debby Batavia Computer,laptop
"ASUS ROG STRIX G16 G614JV RTX4060 CORE I7 13650HX 64GB 2TB SSD 16""FHD",Rp22.899.000,4.9,80+ terjual,Jakarta Utara,ROGS STORE,laptop
"Lenovo LOQ Gaming i5 12450H 8GB 512SSD RTX3050 6GB 15.6"" FHD 144Hz",Rp13.499.000,5.0,100+ terjual,Jakarta Utara,Lenovo Legion Official,laptop
Lenovo LOQ 15 Gaming Ryzen 5 7640HS RTX3050 6GB 8GB 512GB W11 -9LID,Rp12.332.000,5.0,30+ terjual,Jakarta Utara,AMD Official Store,laptop
"ACER Aspire 7 Gaming A715-76G Core i5-12450H GTX1650 512GB 15.6"" 144Hz",Rp10.099.000,5.0,100+ terjual,Jakarta Pusat,TeknoTrend,laptop
"ASUS TUF GAMING A15 FA506IE RTX3050Ti R7 4800H 32GB 1TB 15.6"" 144Hz",Rp10.899.000,5.0,5 terjual,Jakarta Utara,Top Tech,laptop
Asus Vivobook 14X OLED M1403QA RYZEN 5 5600H 16GB 512SSD W11+OHS 2.8K,Rp8.632.000,4.9,100+ terjual,Jakarta Utara,AMD Official Store,laptop
Laptop ASUS Vivobook 14 A416MAO Celeron N4020 RAM 8GB 512GB SSD OHS,Rp4.380.000,5.0,500+ terjual,Jakarta Pusat,Distributor Laptop ID,laptop
"Asus Vivobook 14X M1403QA - Ryzen 5 5600H 16GB 512ssd W11+OHS 14""WUXGA",Rp7.358.000,5.0,500+ terjual,Jakarta Utara,Top Tech,laptop
"ASUS VIVOBOOK A416MAO DUALCORE N4020 4GB 256GB INTEL HD 14"" OHS W11",Rp4.189.000,4.9,1rb+ terjual,Jakarta Pusat,Protech Computer,laptop
"ASUS VIVOBOOK 14 A1405ZA i3 1215 8GB 512 SSD W11+OHS 14"" FHD IPS",Rp6.579.000,5.0,100+ terjual,Jakarta Utara,royalltech,laptop
"Laptop Lenovo V14 G2 Ryzen 3 5300U 8GB SSD 512GB VEGA3 W10PRO 14.0""HD",Rp4.949.000,4.9,250+ terjual,Jakarta Utara,Top Tech,laptop
Lenovo V14 G4 Ryzen 3 7320U 256GB SSD 8GB Win11+OHS Original,Rp5.549.000,5.0,250+ terjual,Jakarta Barat,Sinarmulia Sukses Makmur,laptop
Lenovo Thinkpad T470 / T460 Intel Core i5 Gen 6 Laptop Murah RAM 8GB,Rp2.200.000,4.9,500+ terjual,Jakarta Barat,Ocean Laptop,laptop
