Name,Sell,Sold,Rating,Category,ShopName,Location
acer,14699000,13,5,laptop,gamer.id,jakarta utara
lenovo,2149000,40,5,laptop,cosmo electro,jakarta barat
asus,18549000,4,5,laptop,kingz notebook,jakarta pusat
lenovo,1970000,100,4.9,laptop,apollo notbook,jakarta pusat
asus,4830000,750,4.9,laptop,protech computer,jakarta pusat
lenovo,6859000,100,5,laptop,lenovo official,jakarta pusat
hp,5771000,100,5,laptop,top tech,jakarta utara
hp,5339000,30,5,laptop,agres - hp authorized,jakarta utara
macbook,8700000,11,5,laptop,studio apple,jakarta pusat
lenovo,4049000,11,5,laptop,debby batavia computer,bekasi
asus,8410000,23,5,laptop,blessing computer bali,denpasar
lenovo,9975000,2,5,laptop,lenovo jatim,surabaya
acer,5350000,1,5,laptop,gemini-elektronik,jakarta barat
asus,22899000,80,4.9,laptop,rogs store,jakarta utara
lenovo,13499000,100,5,laptop,lenovo legion official,jakarta utara
lenovo,12332000,30,5,laptop,amd official store,jakarta utara
acer,10099000,100,5,laptop,teknotrend,jakarta pusat
asus,10899000,5,5,laptop,top tech,jakarta utara
asus,8632000,100,4.9,laptop,amd official store,jakarta utara
asus,4380000,500,5,laptop,distributor laptop id,jakarta pusat
asus,7358000,500,5,laptop,top tech,jakarta utara
asus,4189000,1000,4.9,laptop,protech computer,jakarta pusat
asus,6579000,100,5,laptop,royalltech,jakarta utara
lenovo,4949000,250,4.9,laptop,top tech,jakarta utara
lenovo,5549000,250,5,laptop,sinarmulia sukses makmur,jakarta barat
lenovo,2200000,500,4.9,laptop,ocean laptop,jakarta barat
lenovo,4999000,250,4.9,laptop,thinkpad official store,jakarta utara
lenovo,1760000,750,4.9,laptop,gitech laptop,bandung
hp,4589000,30,5,laptop,real tech - hp authorized,jakarta selatan
hp,5771000,100,5,laptop,top tech,jakarta utara
hp,4229000,100,5,laptop,royalltech,jakarta utara
hp,6099000,250,5,laptop,sinarmulia sukses makmur,jakarta barat
hp,9299000,40,4.8,laptop,top tech,jakarta utara
